label,corrected_value,row_id,corp_name,rcept_no,field,extracted_value,quote,context,gate,gate_reason,pick,stratum,dart_url
correct,,E0001,HLB제약,20260618000270,#1 신주인수권증서 상장·매매기간,"end_date=2026-09-01, start_date=2026-08-26, trading_days=5","동 신주인수권증서가 상장될 경우 상장기간은 2026년 08월 26일 부터 2026년 09월 01일 까지 5거래일간으로 예정하고 있으며, 동 기간 중 상장된 신주인수권증서를 한국거래소에서 매매할 수 있습니다.","…주) 본ㆍ지점 2026년 09월 15일 ~2026년 09월 16일 ④ 신주인수권에 관한 사항 (중략) 마. 당사는 금번 주주배정후 실권주 일반공모 유상증자 관련 신주인수권증서의 상장을 한국거래소에 신청할 예정입니다. 【동 신주인수권증서가 상장될 경우 상장기간은 2026년 08월 26일 부터 2026년 09월 01일 까지 5거래일간으로 예정하고 있으며, 동 기간 중 상장된 신주인수권증서를 한국거래소에서 매매할 수 있습니다.】 동 신주인수권증서는 2026년 09월 02일 에 상장폐지될 예정입니다. 「코스닥시장 상장규정」 제16조 3(신주인수권증서의 신규상장)에 따라 5거래일 이상 상장되어야 하며, 동 규정 제44조의3 ""신주인수권증서의 상…",passed,,random,R1_prose,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260618000270
correct,,E0002,HLB제약,20260618000270,#2 청약 취급처 (대상자별 증권사 + 청약일),"entries=agent=한국투자증권(주), 하나증권(주) 본ㆍ지점, target=구주주(신주인수권증서 보유자) 특별계좌 보유자(기존 '명부주주'), end_date=2026-09-11, start_date=2026-09-10 · agent=1) 주주확정일 현재 에이치엘비제약(주)의 주식을 예탁하고 있는 당해 증권회사 본ㆍ지점 2) 한국투자증권(주), 하나증권(주) 본ㆍ지점, target=구주주(신주인수권증서 보유자) 일반주주(기존 '실질주주'), end_date=2026-09-11, start_date=2026-09-10 · agent=1) 한국투자증권(주) 본ㆍ지점 2) 하나증권(주) 본ㆍ지점 3) 한양증권(주) 본ㆍ지점, target=일반공모청약(고위험고수익투자신탁등,벤처기업투자신탁 청약 포함), end_date=2026-09-16, start_date=2026-09-15","③ 청약취급처 청약대상자 청약취급처 청약일 구주주(신주인수권증서 보유자) 특별계좌 보유자(기존 '명부주주') 한국투자증권(주), 하나증권(주) 본ㆍ지점 2026년 09월 10일 ~2026년 09월 11일 일반주주(기존 '실질주주') 1) 주주확정일 현재 에이치엘비제약(주)의 주식을 예탁하고 있는 당해 증권회사 본ㆍ지점2) 한국투자증권(주), 하나증권(주) 본ㆍ지점 일반공모청약(고위험고수익투자신탁등,벤처기업투자신탁 청약 포함) 1) 한국투자증권(주) 본ㆍ지점2) 하나증권(주) 본ㆍ지점3) 한양증권(주) 본ㆍ지점 2026년 09월 15일 ~2026년 09월 16일","…정주식수(단, 1주 미만은 절사함)로 하고, 배정범위 내에서 청약한 수량만큼 배정합니다. 단, 신주배정기준일 전 주식매수선택권의 행사, 자기주식수의 변동 등으로 인하여 1주당 배정주식수가 변동될 수 있습니다.(중략) 【③ 청약취급처 청약대상자 청약취급처 청약일 구주주(신주인수권증서 보유자) 특별계좌 보유자(기존 '명부주주') 한국투자증권(주), 하나증권(주) 본ㆍ지점 2026년 09월 10일 ~2026년 09월 11일 일반주주(기존 '실질주주') 1) 주주확정일 현재 에이치엘비제약(주)의 주식을 예탁하고 있는 당해 증권회사 본ㆍ지점2) 한국투자증권(주), 하나증권(주) 본ㆍ지점 일반공모청약(고위험고수익투자신탁등,벤처기업투자신탁 청약 포함) 1) 한국투자증권(주) 본ㆍ지점2) 하나증권(주) 본ㆍ지점3) 한양증권(주) 본ㆍ지점 2026년 09월 15일 ~2026년 09월 16일】 ④ 신주인수권에 관한 사항 (중략) 마. 당사는 금번 주주배정후 실권주 일반공모 유상증자 관련 신주인수권증서의 상장을 한국거래소에 신청할 예정입니다. 동 신주인수권증서가 상장될 경우 상장기간은 2026년 08월 26…",passed,,random,R1_prose,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260618000270
correct,,E0003,HLB제약,20260618000270,#3 실권주 처리 방식,"detail=구주주 청약 및 초과청약 후 발생한 실권주 및 단수주는 일반공모를 진행하며, 일반공모 후 최종 미달 잔여주식은 주관회사 및 인수회사가 자기 계산으로 인수함., method=일반공모","다. 일반공모 청약: 상기 구주주 청약 및 초과청약 결과 발생한 실권주 및 단수주(이하 ""일반공모 배정분""이라 한다)는 대표주관회사, 공동주관회사 및 인수회사가 다음 각호와 같이 일반에게 공모하되","…주식수 = 신주인수권증서 청약한도 주식수 + 초과청약한도 주식수(ⅱ) 신주인수권증서 청약한도 주식수 = 보유한 신주인수권증서의 수량(ⅲ) 초과청약 한도주식수 = 신주인수권증서청약 한도주식수 × 초과청약 비율(20%) 【다. 일반공모 청약: 상기 구주주 청약 및 초과청약 결과 발생한 실권주 및 단수주(이하 ""일반공모 배정분""이라 한다)는 대표주관회사, 공동주관회사 및 인수회사가 다음 각호와 같이 일반에게 공모하되】 , '증권 인수업무 등에 관한 규정' 제9조 제2항 제6호에 따라 고위험고수익투자신탁등에 공모주식의 10% 이상을 배정하며, 벤처기업투자신탁에 공모주식의 30% 이상을 배정합니다. 나머지 60%에 해당하는 주식은 개…",passed,,random,R1_prose,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260618000270
correct,,E0004,HLB제약,20260618000270,#4 초과청약 조건 (비율),"ratio=0.2, detail=신주 1주당 0.2주(20%) 비율로 초과청약 가능, allowed=True","나. 초과청약 : 구주주(신주인수권증서 보유자) 청약 이후 발생한 실권주 및 단수주가 있는 경우, 실권주 및 단수주를 구주주(신주인수권증서 보유자)가 초과청약(초과청약비율 : 배정 신주 1주당 0.2주)한 주식수에 비례하여 배정하며","…수 10,762,332 G. 증자비율 (F / C) 32.81% H. 구주주 1주당 배정비율 (F/ E) 0.3281321329 주: 신주배정기준일 전 주식매수선택권의 권리 행사 등으로 인하여 변동될 수 있습니다.. 【나. 초과청약 : 구주주(신주인수권증서 보유자) 청약 이후 발생한 실권주 및 단수주가 있는 경우, 실권주 및 단수주를 구주주(신주인수권증서 보유자)가 초과청약(초과청약비율 : 배정 신주 1주당 0.2주)한 주식수에 비례하여 배정하며】 , 1주 미만의 주식은 절사하여 배정하지 않습니다.(단, 초과청약 주식수가 실권주 및 단수주에 미달한 경우 100% 배정)(ⅰ) 청약한도 주식수 = 신주인수권증서 청약한도 주식수 + 초과청약한도 주식수(ⅱ) 신주인수…",passed,,random,R1_prose,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260618000270
correct,,E0005,HLB제약,20260618000270,#5 발행가액 산정방법 (1·2차·확정 산식),"discount_rate=0.25, final_price_date=2026-09-08, final_price_method=MAX[MIN(1차 발행가액, 2차 발행가액), 청약일전 과거 제3~5거래일 가중산술평균주가의 60%], first_price_method=기준주가 × (1-할인율) / [1 + (증자비율 × 할인율)] (할인율 25%), second_price_method=기준주가 × (1-할인율) (할인율 25%)","▶ 확정 발행가액 = MAX【MIN(1차 발행가액, 2차 발행가액), 기준주가의 60%】 라. 최종 발행가액은 구주주청약일 초일 전 제3거래일에 결정되어 금융감독원 전자공시시스템에 2026년 09월 08일 에 공시될 예정이며","…규상장)에 따라 5거래일 이상 상장되어야 하며, 동 규정 제44조의3 ""신주인수권증서의 상장폐지기준""에 따라 신주청약 개시일 5거래일전에 상장폐지되어야 함)(후략) (주1) 정정 후 ① 신주발행가액 산정방법 (중략) 【▶ 확정 발행가액 = MAX【MIN(1차 발행가액, 2차 발행가액), 기준주가의 60%】 라. 최종 발행가액은 구주주청약일 초일 전 제3거래일에 결정되어 금융감독원 전자공시시스템에 2026년 09월 08일 에 공시될 예정이며】 , 회사의 인터넷 홈페이지(http://www.hlbpharma.co.kr)에 공고하여 개별통지에 갈음할 예정입니다.※ 일반공모 발행가액은 구주주 청약시에 적용된 확정 발행가액을 동일하게 적용합니다. ② 청약결과 배…",passed,,random,R1_prose,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260618000270
correct,,E0006,HLB제약,20260803000211,#10 정정 해석 (무엇이 바뀌어 D-day가 어떻게 이동했나),"field_moves=new=entries=agent=한국투자증권(주), 하나증권(주) 본ㆍ지점, target=구주주(신주인수권증서 보유자) 특별계좌 보유자(기존 '명부주주'), end_date=2026-09-11, start_date=2026-09-10 · agent=1) 주주확정일 현재 에이치엘비제약(주)의 주식을 예탁하고 있는 당해 증권회사 본ㆍ지점 2) 한국투자증권(주), 하나증권(주) 본ㆍ지점, target=일반주주(기존 '실질주주'), end_date=2026-09-11, start_date=2026-09-10 · agent=1) 한국투자증권(주) 본ㆍ지점 2) 하나증권(주) 본ㆍ지점 3) 한양증권(주) 본ㆍ지점, target=일반공모청약(고위험고수익투자신탁등,벤처기업투자신탁 청약 포함), end_date=2026-09-16, start_date=2026-09-15, old=entries=agent=한국투자증권(주), 하나증권(주) 본ㆍ지점, target=구주주(신주인수권증서 보유자) 특별계좌 보유자(기존 '명부주주'), end_date=2026-09-11, start_date=2026-09-10 · agent=1) 주주확정일 현재 에이치엘비제약(주)의 주식을 예탁하고 있는 당해 증권회사 본ㆍ지점 2) 한국투자증권(주), 하나증권(주) 본ㆍ지점, target=구주주(신주인수권증서 보유자) 일반주주(기존 '실질주주'), end_date=2026-09-11, start_date=2026-09-10 · agent=1) 한국투자증권(주) 본ㆍ지점 2) 하나증권(주) 본ㆍ지점 3) 한양증권(주) 본ㆍ지점, target=일반공모청약(고위험고수익투자신탁등,벤처기업투자신탁 청약 포함), end_date=2026-09-16, start_date=2026-09-15 …","※ 금번 주요사항보고서 정정은 1차 발행가액 확정에 따른 것이며, 정정 사항은 ' 굵은 빨간색 ' 글씨체를 사용하여 기재하였습니다.","…2. 정정대상 공시서류의 최초제출일 : 2026년 05월 13일 3. 정정사항 항 목 정정사유 정 정 전 정 정 후 【※ 금번 주요사항보고서 정정은 1차 발행가액 확정에 따른 것이며, 정정 사항은 ' 굵은 빨간색 ' 글씨체를 사용하여 기재하였습니다.】 4. 자금조달의 목적 1차 발행가액 확정에 따른 정정 시설자금 (원) 55,000,000,000 운영자금 (원) 50,000,001,800 채무상환자금 (원) 15,000,000,000 시설자금 (원) 55,000,…",passed,,booster,R1_prose,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260803000211
correct,,E0007,KB스타리츠,20260309001319,#1 신주인수권증서 상장·매매기간,"end_date=2026-04-06, start_date=2026-03-31, trading_days=5","동 신주인수권증서가 상장될 경우, 상장기간은 2026년 03월 31일부터 2026년 04월 06일까지 5거래일간으로 예정하고 있으며, 동 기간 중 상장된 신주인수권증서를 한국거래소에서 매매할 수 있습니다.","…되어 있는 수량만큼 청약할 수 있으며 청약 기일내에 청약하지 않을 경우 그 권리와 효력을 상실합니다.6) 당사는 금번 주주배정 후 실권주 일반공모 유상증자 관련 신주인수권증서의 상장을 한국거래소에 신청할 예정입니다. 【동 신주인수권증서가 상장될 경우, 상장기간은 2026년 03월 31일부터 2026년 04월 06일까지 5거래일간으로 예정하고 있으며, 동 기간 중 상장된 신주인수권증서를 한국거래소에서 매매할 수 있습니다.】 동 신주인수권증서는 2026년 04월 07일에 상장폐지될 예정입니다. (""유가증권시장 상장규정"" 제150조 ""신규상장""에 따라 5거래일 이상 상장되어야 하며, 동 규정 제152조 ""신주인수권증서의 상장폐지기준""에 따…",passed,,random,R1_prose,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260309001319
correct,,E0008,KB스타리츠,20260309001319,#2 청약 취급처 (대상자별 증권사 + 청약일),"entries=agent=공동대표주관회사(한국투자증권㈜ 및 신한투자증권㈜)의 본ㆍ지점, target=구주주(신주인수권증서 보유자) 특별계좌 보유자(기존 ""명부주주""), end_date=2026-04-16, start_date=2026-04-15 · agent=1) 주주확정일 현재 ㈜케이비스타위탁관리부동산투자회사 주식을 예탁하고 있는 당해 증권회사 본ㆍ지점 2) 공동대표주관회사(한국투자증권㈜ 및 신한투자증권㈜)의 본ㆍ지점, target=구주주(신주인수권증서 보유자) 일반주주(기존 ""실질주주""), end_date=2026-04-16, start_date=2026-04-15 · agent=1) 공동대표주관회사(한국투자증권㈜ 및 신한투자증권㈜)의 본ㆍ지점 및 인수회사(케이비증권㈜ 및 현대차증권㈜)의 본ㆍ지점, target=실권주 일반공모청약, end_date=2026-04-21, start_date=2026-04-20","구주주(신주인수권증서 보유자) 특별계좌 보유자(기존 ""명부주주"") 공동대표주관회사(한국투자증권㈜ 및 신한투자증권㈜)의 본ㆍ지점 2026년 04월 15일 ~2026년 04월 16일 일반주주(기존 ""실질주주"") 1) 주주확정일 현재 ㈜케이비스타위탁관리부동산투자회사 주식을 예탁하고 있는 당해 증권회사 본ㆍ지점2) 공동대표주관회사(한국투자증권㈜ 및 신한투자증권㈜)의 본ㆍ지점 실권주 일반공모청약 1) 공동대표주관회사(한국투자증권㈜ 및 신한투자증권㈜)의 본ㆍ지점 및 인수회사(케이비증권㈜ 및 현대차증권㈜)의 본ㆍ지점 2026년 04월 20일 ~2026년 04월 21일","…의 공모금액이 1억원 이하인 경우에는일반청약자에게 배정하지 아니하고 공동대표주관회사가 인수비율에 따라 자기계산으로 인수할 수 있습니다. 다. 청약취급처 및 청약일 [청약취급처 및 청약일] 청약대상자 청약취급처 청약일 【구주주(신주인수권증서 보유자) 특별계좌 보유자(기존 ""명부주주"") 공동대표주관회사(한국투자증권㈜ 및 신한투자증권㈜)의 본ㆍ지점 2026년 04월 15일 ~2026년 04월 16일 일반주주(기존 ""실질주주"") 1) 주주확정일 현재 ㈜케이비스타위탁관리부동산투자회사 주식을 예탁하고 있는 당해 증권회사 본ㆍ지점2) 공동대표주관회사(한국투자증권㈜ 및 신한투자증권㈜)의 본ㆍ지점 실권주 일반공모청약 1) 공동대표주관회사(한국투자증권㈜ 및 신한투자증권㈜)의 본ㆍ지점 및 인수회사(케이비증권㈜ 및 현대차증권㈜)의 본ㆍ지점 2026년 04월 20일 ~2026년 04월 21일】 1) 구주주 중 주권을 증권회사에 예탁한 주주(기존 ""실질주주"")는 주권을 예탁한 증권회사의 본·지점 및 공동대표주관회사의 본·지점에서 청약할 수 있습니다. 다만, 구주주 중 명의개서대행기관 특별계좌에 주식을 가지고…",passed,,random,R1_prose,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260309001319
correct,,E0009,KB스타리츠,20260309001319,#3 실권주 처리 방식,"detail=구주주 청약 및 초과청약 결과 발생한 실권주 및 단수주는 일반공모 청약을 진행하며, 미달 시 공동대표주관회사 및 인수회사가 자기계산으로 잔액인수함, method=일반공모",상기 구주주 청약 및 초과청약 결과 발생한 실권주 및 단수주는 아래와 같이 공동대표주관회사 및 인수회사가 일반에게 공모합니다.,"…한도주식수 + 초과청약 한도주식수 (ii) 신주인수권증서청약 한도주식수 = 보유한 신주인수권 증서의 수량 (iii) 초과청약 한도주식수 = 신주인수권증서청약 한도주식수 x 초과청약 비율(100%) 3) 일반공모 청약 【상기 구주주 청약 및 초과청약 결과 발생한 실권주 및 단수주는 아래와 같이 공동대표주관회사 및 인수회사가 일반에게 공모합니다.】 일반공모에 관한 배정수량 계산시에는 공동대표주관회사 및 인수회사의 각 청약물량(공동대표주관회사 및 인수회사의 각 청약처에서 일반공모 방식으로 접수를 받은 청약주식수를 의미하며, 공동대표주관회사 및 인수회사에 대하여 …",passed,,random,R1_prose,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260309001319
correct,,E0010,KB스타리츠,20260309001319,#4 초과청약 조건 (비율),"ratio=1.0, detail=배정신주 1주당 1주 (초과청약 비율 100%), allowed=True","2) 초과청약에 대한 배정 : 구주주(신주인수권증서 보유자) 청약 이후 발생한 실권주가 있는 경우, 실권주를 구주주(신주인수권증서 보유자)가 초과청약(초과청약 비율: 배정신주 1주당 1주)한 주식수에 비례하여 배정하며","…산정된 배정주식수(단, 1주 미만은 절사함)로 하고, 배정범위 내에서 청약한 수량만큼 배정합니다. 단, 신주배정기준일 전 자기주식 및 자기주식신탁 등의 자기주식변동으로 인하여 1주당 배정주식수가 변동될 수 있습니다. 【2) 초과청약에 대한 배정 : 구주주(신주인수권증서 보유자) 청약 이후 발생한 실권주가 있는 경우, 실권주를 구주주(신주인수권증서 보유자)가 초과청약(초과청약 비율: 배정신주 1주당 1주)한 주식수에 비례하여 배정하며】 (단, 초과청약 주식수가 실권주에 미달한 경우 100% 배정), 1주 미만의 주식은 절사하여 배정하지 않습니다. (i) 청약한도 주식수 = 신주인수권증서청약 한도주식수 + 초과청약 한도주식수 (ii) 신주인수권증서청…",passed,,random,R1_prose,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260309001319
